scenario_id,model,threshold_delta_uno_c,scenario_rate,replicates
STRESS_0045,A2,-0.03,0.27,100
STRESS_0045,A2,-0.04,0.14,100
STRESS_0045,A2,-0.05,0.08,100
STRESS_0045,A2,-0.06,0.01,100
STRESS_0045,A3,-0.01,0.09,100
STRESS_0045,A3,-0.02,0.06,100
STRESS_0045,A3,-0.03,0.02,100
STRESS_0045,A3,-0.04,0,100
STRESS_0045,A3,-0.05,0,100
STRESS_0045,A3,-0.06,0,100
STRESS_0046,A2,-0.01,0.44,100
STRESS_0046,A2,-0.02,0.34,100
STRESS_0046,A2,-0.03,0.24,100
STRESS_0046,A2,-0.04,0.19,100
STRESS_0046,A2,-0.05,0.15,100
STRESS_0046,A2,-0.06,0.08,100
STRESS_0046,A3,-0.01,0.28,100
STRESS_0046,A3,-0.02,0.21,100
STRESS_0046,A3,-0.03,0.1,100
STRESS_0046,A3,-0.04,0.07,100
STRESS_0046,A3,-0.05,0.03,100
STRESS_0046,A3,-0.06,0.03,100
STRESS_0047,A2,-0.01,0.43,100
STRESS_0047,A2,-0.02,0.33,100
STRESS_0047,A2,-0.03,0.19,100
STRESS_0047,A2,-0.04,0.13,100
STRESS_0047,A2,-0.05,0.06,100
STRESS_0047,A2,-0.06,0.05,100
STRESS_0047,A3,-0.01,0.42,100
STRESS_0047,A3,-0.02,0.29,100
STRESS_0047,A3,-0.03,0.14,100
STRESS_0047,A3,-0.04,0.11,100
STRESS_0047,A3,-0.05,0.06,100
STRESS_0047,A3,-0.06,0.03,100
STRESS_0048,A2,-0.01,0.37,100
STRESS_0048,A2,-0.02,0.25,100
STRESS_0048,A2,-0.03,0.15,100
STRESS_0048,A2,-0.04,0.06,100
STRESS_0048,A2,-0.05,0.04,100
STRESS_0048,A2,-0.06,0.02,100
STRESS_0048,A3,-0.01,0.05,100
STRESS_0048,A3,-0.02,0.04,100
STRESS_0048,A3,-0.03,0.02,100
STRESS_0048,A3,-0.04,0.02,100
STRESS_0048,A3,-0.05,0.01,100
STRESS_0048,A3,-0.06,0.01,100
STRESS_0049,A2,-0.01,0.37,100
STRESS_0049,A2,-0.02,0.27,100
STRESS_0049,A2,-0.03,0.21,100
STRESS_0049,A2,-0.04,0.17,100
STRESS_0049,A2,-0.05,0.1,100
STRESS_0049,A2,-0.06,0.09,100
STRESS_0049,A3,-0.01,0.31,100
STRESS_0049,A3,-0.02,0.17,100
STRESS_0049,A3,-0.03,0.07,100
STRESS_0049,A3,-0.04,0.04,100
STRESS_0049,A3,-0.05,0.03,100
STRESS_0049,A3,-0.06,0.03,100
STRESS_0050,A2,-0.01,0.49,100
STRESS_0050,A2,-0.02,0.38,100
STRESS_0050,A2,-0.03,0.28,100
STRESS_0050,A2,-0.04,0.15,100
STRESS_0050,A2,-0.05,0.09,100
STRESS_0050,A2,-0.06,0.06,100
STRESS_0050,A3,-0.01,0.42,100
STRESS_0050,A3,-0.02,0.29,100
STRESS_0050,A3,-0.03,0.17,100
STRESS_0050,A3,-0.04,0.09,100
STRESS_0050,A3,-0.05,0.05,100
STRESS_0050,A3,-0.06,0.02,100
STRESS_0051,A2,-0.01,0.43,100
STRESS_0051,A2,-0.02,0.32,100
STRESS_0051,A2,-0.03,0.22,100
STRESS_0051,A2,-0.04,0.16,100
STRESS_0051,A2,-0.05,0.12,100
STRESS_0051,A2,-0.06,0.04,100
STRESS_0051,A3,-0.01,0.1,100
STRESS_0051,A3,-0.02,0.07,100
STRESS_0051,A3,-0.03,0.04,100
STRESS_0051,A3,-0.04,0.02,100
STRESS_0051,A3,-0.05,0.01,100
STRESS_0051,A3,-0.06,0,100
STRESS_0052,A2,-0.01,0.48,100
STRESS_0052,A2,-0.02,0.36,100
STRESS_0052,A2,-0.03,0.27,100
STRESS_0052,A2,-0.04,0.21,100
STRESS_0052,A2,-0.05,0.14,100
STRESS_0052,A2,-0.06,0.09,100
STRESS_0052,A3,-0.01,0.27,100
STRESS_0052,A3,-0.02,0.16,100
STRESS_0052,A3,-0.03,0.09,100
STRESS_0052,A3,-0.04,0.03,100
STRESS_0052,A3,-0.05,0.01,100
STRESS_0052,A3,-0.06,0.01,100
STRESS_0053,A2,-0.01,0.4,100
STRESS_0053,A2,-0.02,0.25,100
STRESS_0053,A2,-0.03,0.14,100
STRESS_0053,A2,-0.04,0.07,100
STRESS_0053,A2,-0.05,0.05,100
STRESS_0053,A2,-0.06,0.03,100
STRESS_0053,A3,-0.01,0.36,100
STRESS_0053,A3,-0.02,0.31,100
STRESS_0053,A3,-0.03,0.2,100
STRESS_0053,A3,-0.04,0.11,100
STRESS_0053,A3,-0.05,0.08,100
STRESS_0053,A3,-0.06,0.05,100
STRESS_0054,A2,-0.01,0.33,100
STRESS_0054,A2,-0.02,0.25,100
STRESS_0054,A2,-0.03,0.21,100
STRESS_0054,A2,-0.04,0.15,100
STRESS_0054,A2,-0.05,0.14,100
STRESS_0054,A2,-0.06,0.11,100
STRESS_0054,A3,-0.01,1,100
STRESS_0054,A3,-0.02,0.98,100
