scenario_id,regime,transfer_regime,replicates,model,mean_uno_c,mean_delta_c_vs_B0,negative_transfer_rate,catastrophic_negative_transfer_rate,frozen_role,eligible_for_primary_selection
CORE_0021,R3,R3_WEAKLY_TRANSPORTABLE,200,A0,0.5348291002,3.707675299e-05,0,0,frozen non-selectable comparator,False
CORE_0021,R3,R3_WEAKLY_TRANSPORTABLE,200,A1,0.5227624546,-0.01202956716,0.43,0.155,frozen non-selectable comparator,False
CORE_0021,R3,R3_WEAKLY_TRANSPORTABLE,200,A2,0.5204277392,-0.01436428274,0.45,0.165,frozen selectable architecture,True
CORE_0021,R3,R3_WEAKLY_TRANSPORTABLE,200,A3,0.5266204908,-0.008171533497,0.325,0.035,frozen selectable architecture,True
CORE_0021,R3,R3_WEAKLY_TRANSPORTABLE,200,A4,0.513254904,-0.02153711983,0.535,0.14,frozen non-selectable comparator,False
CORE_0021,R3,R3_WEAKLY_TRANSPORTABLE,200,B0,0.5347920269,0,0,0,frozen target-only reference,False
CORE_0021,R3,R3_WEAKLY_TRANSPORTABLE,200,B4,0.5277186888,-0.007073334945,0.08,0,frozen non-selectable comparator,False
CORE_0022,R4,R4_NONTRANSPORTABLE,200,A0,0.5586396936,1.71039051e-05,0,0,frozen non-selectable comparator,False
CORE_0022,R4,R4_NONTRANSPORTABLE,200,A1,0.5851126339,0.0264900441,0.165,0.04,frozen non-selectable comparator,False
CORE_0022,R4,R4_NONTRANSPORTABLE,200,A2,0.5686280419,0.01000545251,0.27,0.09,frozen selectable architecture,True
CORE_0022,R4,R4_NONTRANSPORTABLE,200,A3,0.5242877294,-0.03433485954,0.69,0.23,frozen selectable architecture,True
CORE_0022,R4,R4_NONTRANSPORTABLE,200,A4,0.5007726429,-0.05784994724,0.91,0.61,frozen non-selectable comparator,False
CORE_0022,R4,R4_NONTRANSPORTABLE,200,B0,0.5586225903,0,0,0,frozen target-only reference,False
CORE_0022,R4,R4_NONTRANSPORTABLE,200,B4,0.5389137532,-0.01970883441,0.445,0.005,frozen non-selectable comparator,False
CORE_0023,R5,R5_MISLEADING_SOURCE,200,A0,0.5902171203,0.000164055738,0,0,frozen non-selectable comparator,False
CORE_0023,R5,R5_MISLEADING_SOURCE,200,A1,0.659490566,0.06943749935,0.005,0,frozen non-selectable comparator,False
CORE_0023,R5,R5_MISLEADING_SOURCE,200,A2,0.643570783,0.0535177182,0.045,0.02,frozen selectable architecture,True
CORE_0023,R5,R5_MISLEADING_SOURCE,200,A3,0.5331266136,-0.05692645435,0.925,0.56,frozen selectable architecture,True
CORE_0023,R5,R5_MISLEADING_SOURCE,200,A4,0.4961984839,-0.09385458304,1,0.905,frozen non-selectable comparator,False
CORE_0023,R5,R5_MISLEADING_SOURCE,200,B0,0.5900530663,0,0,0,frozen target-only reference,False
CORE_0023,R5,R5_MISLEADING_SOURCE,200,B4,0.5568375912,-0.0332154751,0.875,0.08,frozen non-selectable comparator,False
CORE_0024,R0,R0_FULLY_TRANSPORTABLE,200,A0,0.5867489402,0.00111434194,0.005,0,frozen non-selectable comparator,False
CORE_0024,R0,R0_FULLY_TRANSPORTABLE,200,A1,0.610781242,0.02514664457,0.16,0.135,frozen non-selectable comparator,False
CORE_0024,R0,R0_FULLY_TRANSPORTABLE,200,A2,0.6367585294,0.05112393208,0.045,0.005,frozen selectable architecture,True
CORE_0024,R0,R0_FULLY_TRANSPORTABLE,200,A3,0.627298393,0.04166379555,0.04,0,frozen selectable architecture,True
CORE_0024,R0,R0_FULLY_TRANSPORTABLE,200,A4,0.6324185613,0.04678396605,0.01,0,frozen non-selectable comparator,False
CORE_0024,R0,R0_FULLY_TRANSPORTABLE,200,B0,0.5856345966,0,0,0,frozen target-only reference,False
CORE_0024,R0,R0_FULLY_TRANSPORTABLE,200,B4,0.6016771311,0.01604253466,0,0,frozen non-selectable comparator,False
CORE_0025,R1,R1_MOSTLY_TRANSPORTABLE,200,A0,0.5525702359,0.001035284647,0,0,frozen non-selectable comparator,False
