relative_path,sheet,rows,columns,file_size_bytes,best_cotc_source,cotc_nonempty,unique_cotc,selected186_overlap,selected186_missing,selected186_overlap_fraction,parent_candidate
paper5/human/TARGET_OS/gdc_download_20260810_185352.818424/c765be62-a704-4686-bf60-1c01c2a9115a/TARGET_OS_ClinicalData_Discovery_and_Validation_Percent_Tumor_Supplement_20230329.xlsx,OS Data,241,17,42353,TARGET Sample ID,0,0,0,186,0.0,False
paper5/data_manifest/TARGET_OS_technical_metadata/TARGET_OS_selected_file_technical_metadata.csv,__table__,234,47,183317,__index__,0,0,0,186,0.0,False
paper5/data_manifest/TARGET_OS_technical_metadata/TARGET_OS_technical_metadata_linkage_audit.csv,__table__,234,8,41024,__index__,0,0,0,186,0.0,False
results/tables/GSE239948_DOG2_sample_identifier_audit.csv,__table__,229,4,9696,raw_sample_identifier,0,0,0,186,0.0,False
results/tables/multistudy_factor_pca_rank_diagnostics.csv,__table__,220,8,22901,n_samples,0,0,0,186,0.0,False
results/tables/multigroup_mofa_factor_activity.csv,__table__,219,16,54133,__index__,0,0,0,186,0.0,False
paper5/human/TARGET_OS/methilation/clinical.cart.2026-08-10/follow_up.tsv,__table__,209,151,156743,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_repeated_cv_proliferation_sensitivity_summary.csv,__table__,208,27,86445,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_dfi_univariate_cox_top_hits_top5000var.csv,__table__,200,14,40618,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_os_univariate_cox_top_hits_top5000var.csv,__table__,200,14,40425,__index__,0,0,0,186,0.0,False
paper5/human/TARGET_OS/gdc_download_20260810_185352.818424/7a862330-297a-466c-bca5-6c4318c286e6/TARGET_OS_ClinicalData_Validation_20230329.xlsx,Clinical Data,193,29,42448,__index__,0,0,0,186,0.0,False
data/external_parent_trial/42003_2023_5208_MOESM4_ESM.xlsx,Figure 2,186,9,115541,__index__,0,0,0,186,0.0,False
data/external_parent_trial/42003_2023_5208_MOESM4_ESM.xlsx,Figure 7,186,9,115541,Patient ID,0,0,0,186,0.0,False
data/external_parent_trial/42003_2023_5208_MOESM4_ESM.xlsx,Figure S11,186,7,115541,__index__,0,0,0,186,0.0,False
data/external_parent_trial/42003_2023_5208_MOESM4_ESM.xlsx,Figure S12,186,11,115541,__index__,0,0,0,186,0.0,False
data/external_parent_trial/42003_2023_5208_MOESM4_ESM.xlsx,Figure S1,186,8,115541,__index__,0,0,0,186,0.0,False
data/processed/DOG2_clinical_matched_to_GSE238110.csv,__table__,186,26,33260,Patient ID,0,0,0,186,0.0,False
data/processed/GSE238110_DOG2_clinical_matched_indexed.csv,__table__,186,26,33260,original_sample_column,0,0,0,186,0.0,False
